Shalamar Town,31.5938,74.3635
Nishter Town,31.4287,74.3627
Shalamar Town,31.6041,74.3408
Sheikhupura,31.7001,73.9999
Data Ganj Bakhsh Town,31.5597,74.2774
Data Ganj Bakhsh Town,31.5454,74.3164
Ravi Town,31.596,74.3329
Wahga Town,31.614,74.429
Shalamar Town,31.5823,74.3663
Data Ganj Bakhsh Town,31.5646,74.29
Ferozwala,31.6586,74.2805
Data Ganj Bakhsh Town,31.5723,74.3204
Nishter Town,31.3753,74.2308
Wahga Town,31.5995,74.4915
Cantonment,31.4896,74.4017
Data Ganj Bakhsh Town,31.5584,74.3051
Faisal Abad City,31.3848,73.0722
Samanabad Town,31.5399,74.3178
Gulberg Town,31.4765,74.3287
Wahga Town,31.6076,74.4137
Data Ganj Bakhsh Town,31.5657,74.3311
RAWAL,33.6165,73.0468
Wahga Town,31.5888,74.4189
Samanabad Town,31.5212,74.2974
Data Ganj Bakhsh Town,31.5657,74.3231
Samanabad Town,31.5368,74.2716
Ravi Town,31.6087,74.324
Samanabad Town,31.532,74.3207
Sheikhupura,31.7237,73.9987
Sheikhupura,31.7495,73.826
Muridkey,31.8097,74.2254
Gulberg Town,31.5102,74.3394
Gulberg Town,31.5169,74.3573
Aziz Bhati Town,31.5575,74.3975
Data Ganj Bakhsh Town,31.5733,74.2976
Samanabad Town,31.5251,74.2952
Wahga Town,31.4766,74.51
Aziz Bhati Town,31.5735,74.3879
Allama Iqbal Town,31.5053,74.2683
Cantonment,31.4641,74.348
Samanabad Town,31.5482,74.3028
Data Ganj Bakhsh Town,31.5591,74.2928
Aziz Bhati Town,31.5743,74.3895
RAWAL,33.6286,73.0391
Shalamar Town,31.5833,74.3604
Ravi Town,31.5908,74.3262
Wahga Town,31.4784,74.5101
Data Ganj Bakhsh Town,31.5644,74.279
Shalamar Town,31.5872,74.356
Aziz Bhati Town,31.5567,74.3967
Allama Iqbal Town,31.4629,74.2332
Aziz Bhati Town,31.5436,74.4019
RAWAL,33.6264,73.0334
Data Ganj Bakhsh Town,31.5736,74.3174
Data Ganj Bakhsh Town,31.5607,74.308
Nishter Town,31.4439,74.3674
Cantonment,31.5497,74.3885
Aziz Bhati Town,31.561,74.3891
Shalamar Town,31.5786,74.3931
Faisal Abad City,31.4237,73.083
Shalamar Town,31.5968,74.3607
Faisal Abad City,31.4155,73.0924
Faisal Abad City,31.4066,73.107
Samanabad Town,31.5125,74.2961
Wahga Town,31.5912,74.4436
Sheikhupura,31.7028,74.0181
Faisal Abad City,31.4261,73.0572
RAWAL,33.6167,73.048
Data Ganj Bakhsh Town,31.5658,74.3235
Muridkey,31.8095,74.2254
Samanabad Town,31.5458,74.3092
Ravi Town,31.5823,74.3152
Gulberg Town,31.5716,74.3354
Wahga Town,31.5933,74.4998
Gulberg Town,31.5157,74.3445
Aziz Bhati Town,31.5664,74.4129
Allama Iqbal Town,31.5071,74.2485
Shalamar Town,31.6013,74.3378
Ravi Town,31.6268,74.2796
Wahga Town,31.5934,74.4965
Allama Iqbal Town,31.471,74.2368
Gulberg Town,31.574,74.3356
Ravi Town,31.625,74.2876
Ferozwala,31.6483,74.2829
Shalamar Town,31.5753,74.3854
Wahga Town,31.5889,74.3961
Wahga Town,31.584,74.4064
Data Ganj Bakhsh Town,31.5715,74.3251
Nishter Town,31.4041,74.2302
Cantonment,31.4882,74.4772
Safdarabad,31.7324,73.5784
RAWAL,33.6332,73.0364
Ravi Town,31.5765,74.3149
Faisal Abad City,31.4294,73.0968
Wahga Town,31.5915,74.4485
